,GO Primary Key,Council District,Highest NIBRS/UCR Offense Description,Clearance Status,GO Location Zip,Longitude,Latitude,Processing Time,month,weekday
0,"201,510,782",4,Robbery,N,78753,-97.68923639799456,30.35386348088982,27.0,1,3
1,"201,511,231",4,Robbery,N,78751,-97.7083740129849,30.32105969193851,12.000000000000002,1,3
2,"201,511,736",1,Burglary,N,78753,-97.67067027268186,30.394333691259604,12.000000000000002,1,3
3,"201,511,433",4,Burglary,N,78753,-97.69157380405072,30.336490757140442,4.0,1,3
4,"201,511,936",2,Burglary,N,78744,-97.75734459611891,30.181907507949425,6.000000000000001,1,3
5,"201,511,398",3,Burglary,N,78741,-97.71653156786878,30.23968398295884,6.000000000000001,1,3
6,"201,511,363",9,Burglary,N,78741,-97.73203241780088,30.24702681880913,55.0,1,3
7,"201,510,756",7,Burglary,N,78727,-97.70215238008534,30.421912147706745,15.0,1,3
8,"201,510,608",1,Burglary,N,78721,-97.68719996163031,30.280818232254013,12.000000000000002,1,3
9,"201,511,584",2,Burglary,N,78744,-97.7352257191695,30.199574151090523,6.000000000000001,1,3
10,"201,510,943",2,Burglary,N,78744,-97.75527661415678,30.20804060763736,12.000000000000002,1,3
11,"201,511,218",7,Burglary,N,78759,-97.74512369279041,30.402023546434002,89.00000000000001,1,3
12,"201,511,076",7,Burglary,N,78757,-97.74116370339195,30.353410882863827,12.000000000000002,1,3
13,"201,511,617",3,Auto Theft,N,78741,-97.72535471507976,30.223447152064818,4.0,1,3
14,"201,511,258",4,Auto Theft,N,78752,-97.70304230814487,30.335686890318307,5.0,1,3
15,"201,511,549",7,Auto Theft,N,78758,-97.72480016756573,30.40299541006223,4.0,1,3
16,"201,511,056",4,Auto Theft,C,78758,-97.70435333719635,30.35459782155593,22.000000000000004,1,3
17,"201,511,321",1,Auto Theft,N,78702,-97.73109910239648,30.268611791176987,4.0,1,3
18,"201,511,737",3,Auto Theft,O,78704,-97.74746494390864,30.224002739469363,143.0,1,3
19,"201,510,947",2,Agg Assault,C,78744,-97.75217006358812,30.211957737477242,19.0,1,3
20,"201,510,811",7,Agg Assault,C,78753,-97.65064299379387,30.398817711371652,12.000000000000002,1,3
21,"201,510,509",1,Agg Assault,C,78721,-97.693065156795,30.27180249074261,30.0,1,3
22,"201,510,890",7,Agg Assault,C,78758,-97.69870392846278,30.412693633841986,4.0,1,3
23,"201,510,269",1,Agg Assault,O,78702,-97.71516225032076,30.262734179229728,27.0,1,3
24,"201,510,538",3,Theft,C,78702,-97.73405074352812,30.265723336156665,6.000000000000001,1,3
25,"20,158,000,072",9,Theft,N,78701,-97.74431828226255,30.26695709134247,25.0,1,3
26,"20,158,000,001",2,Theft,N,78719,-97.66715662281544,30.20209411715468,41.0,1,3
27,"20,155,000,011",3,Theft,N,78741,-97.70297856472747,30.224986299724264,6.000000000000001,1,3
28,"201,511,302",9,Theft,C,78723,-97.69868399264575,30.301729352076396,5.0,1,3
29,"201,511,519",5,Theft,C,78745,-97.79281199803879,30.23202805398,5.0,1,3
30,"20,158,000,005",5,Theft,N,78748,-97.82566468995786,30.175370720008463,11.000000000000002,1,3
31,"201,511,672",5,Theft,C,78748,-97.78893827668688,30.161942425149213,1.0,1,3
32,"201,511,514",2,Theft,C,78744,-97.76893442640551,30.18869691404181,1.0,1,3
33,"20,155,000,010",3,Theft,N,78741,-97.70297856472747,30.224986299724264,97.00000000000001,1,3
35,"201,511,249",7,Theft,C,78753,-97.67570612551658,30.413528584305805,0.0,1,3
36,"201,511,621",7,Theft,C,78759,-97.74387750761412,30.389000235626145,4.0,1,3
37,"20,155,000,040",2,Theft,N,78745,-97.78302803174104,30.1989290059329,12.000000000000002,1,3
38,"20,155,000,096",9,Theft,N,78723,-97.69868399264575,30.301729352076396,35.0,1,3
39,"20,155,000,036",2,Theft,N,78617,-97.65233523126116,30.21085813246594,6.000000000000001,1,3
40,"20,155,000,024",10,Theft,N,78759,-97.74790987462566,30.397277605508627,8.0,1,3
41,"20,155,000,063",9,Theft,N,78701,-97.74039054185378,30.270098312351585,35.0,1,3
42,"20,155,000,071",4,Theft,N,78753,-97.6851231604789,30.376271250632065,8.0,1,3
43,"20,155,000,099",5,Theft,N,78748,-97.84131288310896,30.187219146442214,7.0,1,3
44,"20,155,000,069",3,Theft,N,78741,-97.73753659671084,30.22634320234335,6.000000000000001,1,3
45,"201,511,863",7,Theft,N,78758,-97.7324039085865,30.394125837692258,8.0,1,3
46,"20,158,000,003",3,Theft,N,78741,-97.73914094564607,30.22651322482493,6.000000000000001,1,3
47,"20,155,000,070",4,Theft,N,78753,-97.67527083808798,30.35243887275706,8.0,1,3
48,"201,511,194",3,Theft,N,78704,-97.75215792523213,30.22532955067632,7.0,1,3
49,"20,155,000,068",4,Theft,N,78758,-97.70727120723036,30.372529513668102,8.0,1,3
51,"20,155,000,043",5,Theft,N,78745,-97.80826356626352,30.202413210253216,1.0,1,3
52,"20,155,000,072",7,Theft,N,78753,-97.66376389808431,30.396602272380854,4.0,1,3
53,"201,511,152",7,Theft,N,78753,-97.67024325031556,30.422543898612556,53.0,1,3
54,"20,155,000,066",2,Theft,N,78744,-97.74930223440448,30.16941578153256,1.0,1,3
55,"20,158,000,008",6,Theft,N,78729,-97.7846470258075,30.445411836988164,5.0,1,3
56,"20,155,000,007",1,Theft,N,78653,-97.61255392892755,30.3655963425208,26.0,1,3
57,"201,511,848",4,Theft,O,78758,-97.70101714020994,30.37190900441047,53.0,1,3
58,"20,155,000,023",4,Theft,N,78758,-97.70922204707308,30.362967895786962,5.0,1,3
59,"20,155,000,091",7,Theft,N,78757,-97.73355872663414,30.355415968804714,13.0,1,3
60,"201,510,667",9,Theft,N,78701,-97.74184486909141,30.26443453728444,8.0,1,3
61,"20,155,000,064",9,Theft,N,78701,-97.7437255844795,30.27842226797637,8.0,1,3
62,"201,510,892",5,Theft,N,78745,-97.83251466339638,30.198978255323443,1.0,1,3
63,"201,511,500",1,Theft,N,78723,-97.66165128876841,30.30327036809392,2.0,1,3
64,"20,155,000,029",1,Theft,N,78721,-97.6782842200212,30.27303453311632,6.000000000000001,1,3
65,"201,511,172",3,Theft,N,78741,-97.7394226428964,30.21626020543148,96.00000000000001,1,3
66,"201,511,111",1,Theft,N,78723,-97.7027981823347,30.32138271253445,9.0,1,3
67,"20,155,000,074",7,Theft,N,78756,-97.73693695477243,30.322048392375933,1.0,1,3
68,"20,155,000,089",3,Theft,N,78741,-97.72788368371114,30.239588098189458,7.0,1,3
